Wellname		: 3-BRSA-			1132-RJS
Date		: 04/05/2			018 15:36:55
					
DEPTH	AF10	AF20	AF30	AF60	AF90
M	ohm,m	ohm,m	ohm,m	ohm,m	ohm,m
5222,9004	-999	-999	-999	-999	-999
5223,0527	1950	1034,5	392,6	199,1	146,9
5223,2051	1950	1034,5	392,6	199,1	146,9
5223,3574	1950	1034,5	392,6	199,1	146,9
5223,5098	1950	1034,5	392,6	199,1	146,9
5223,6626	1950	1034,5	392,6	199,1	146,9
5223,8149	1950	1034,5	392,6	199,1	146,9
5223,9673	1950	1034,5	392,6	199,1	146,9
5224,1196	1950	1034,5	392,6	199,1	146,9
5224,272	1950	1034,5	392,6	199,1	146,9
5224,4243	1950	1034,5	392,6	199,1	146,9
5224,5767	1950	1034,5	392,6	199,1	146,9
5224,729	1950	1034,5	392,6	199,1	146,9
5224,8818	1950	1034,5	392,6	199,1	146,9
5225,0342	1950	1034,5	392,6	199,1	146,9
5225,1865	1950	1034,5	392,6	199,1	146,9
5225,3389	1950	1034,5	392,6	199,1	146,9
5225,4912	1950	1034,5	392,6	199,1	146,9
5225,6436	1950	1034,5	392,6	199,1	146,9
5225,7959	1950	1034,5	392,6	199,1	146,9
5225,9482	1950	1034,5	392,6	199,1	146,9
5226,1006	1950	1034,5	392,6	199,1	146,9
5226,2534	1950	1034,5	392,6	199,1	146,9
5226,4058	1950	1034,5	392,6	199,1	146,9
5226,5581	1950	1034,5	392,6	199,1	146,9
5226,7104	1950	1034,5	392,6	199,1	146,9
5226,8628	1950	1034,5	392,6	199,1	146,9
5227,0151	1950	1034,5	392,6	199,1	146,9
5227,1675	1950	1034,5	392,6	199,1	146,9
5227,3198	1950	1034,5	392,6	199,1	146,9
5227,4722	1950	1034,5	392,6	199,1	146,9
5227,625	1950	1034,5	392,6	199,1	146,9
5227,7773	1950	1034,5	392,6	199,1	146,9
5227,9297	1950	1034,5	392,6	199,1	146,9
5228,082	1950	1034,5	392,6	199,1	146,9
5228,2344	1950	1034,5	392,6	199,1	146,9
5228,3867	1950	1034,5	392,6	199,1	146,9
5228,5391	1950	1034,5	392,6	199,1	146,9
5228,6914	1950	1034,5	392,6	199,1	146,9
5228,8442	1950	1034,5	392,6	199,1	146,9
5228,9966	1950	1034,5	392,6	199,1	146,9
5229,1489	1950	1034,5	392,6	199,1	146,9
5229,3013	1950	1034,5	392,6	199,1	146,9
5229,4536	1950	1034,5	392,6	199,1	146,9
5229,606	1950	1034,5	392,6	199,1	146,9
5229,7583	1950	1034,5	392,6	199,1	146,9
5229,9106	1950	1034,5	392,6	199,1	146,9
5230,063	1950	1034,5	392,6	199,1	146,9
5230,2158	1950	1034,5	392,6	199,1	146,9
5230,3682	1950	1034,5	392,6	199,1	146,9
5230,5205	1950	1034,5	392,6	199,1	146,9
5230,6729	1950	1034,5	392,6	199,1	146,9
5230,8252	1950	1034,5	392,6	199,1	146,9
5230,9775	1950	1034,5	392,6	199,1	146,9
5231,1299	1950	1034,5	392,6	199,1	146,9
5231,2822	1950	1034,5	392,6	199,1	146,9
5231,4346	1950	1034,5	392,6	199,1	146,9
5231,5874	1950	1034,5	392,6	199,1	146,9
5231,7397	1950	1034,5	392,6	199,1	146,9
5231,8921	1950	1034,5	392,6	199,1	146,9
5232,0444	1950	1034,5	392,6	199,1	146,9
5232,1968	1950	1034,5	392,6	199,1	146,9
5232,3491	1950	1034,5	392,6	199,1	146,9
5232,5015	1950	1034,5	392,6	199,1	146,9
5232,6538	1950	1034,5	392,6	199,1	146,9
5232,8066	1950	1034,5	392,6	199,1	146,9
5232,959	1950	1034,5	392,6	199,1	146,9
5233,1113	1950	1034,5	392,6	199,1	146,9
5233,2637	1950	1034,5	392,6	199,1	146,9
5233,416	1950	1034,5	392,6	199,1	146,9
5233,5684	1950	1034,5	392,6	199,1	146,9
5233,7207	1950	1034,5	392,6	199,1	146,9
5233,873	1950	1034,5	392,6	199,1	146,9
5234,0254	1950	1034,5	392,6	199,1	146,9
5234,1782	1950	1034,5	392,6	199,1	146,9
5234,3306	1950	1034,5	392,6	199,1	146,9
5234,4829	1950	1034,5	392,6	199,1	146,9
5234,6353	1950	1034,5	392,6	199,1	146,9
5234,7876	1950	1034,5	392,6	199,1	146,9
5234,9399	1950	1034,5	392,6	199,1	146,9
5235,0923	1950	1034,5	392,6	199,1	146,9
5235,2446	1950	1034,5	392,6	199,1	146,9
5235,397	1950	1034,5	392,6	199,1	146,9
5235,5498	1950	1034,5	392,6	199,1	146,9
5235,7021	1950	1034,5	392,6	199,1	146,9
5235,8545	1950	1034,5	392,6	199,1	146,9
5236,0068	1950	1034,5	392,6	199,1	146,9
5236,1592	1950	1034,5	392,6	199,1	146,9
5236,3115	1950	1034,5	392,6	199,1	146,9
5236,4639	1950	1034,5	392,6	199,1	146,9
5236,6162	1950	1034,5	392,6	199,1	146,9
5236,769	1950	1034,5	392,6	199,1	146,9
5236,9214	1950	1034,5	392,6	199,1	146,9
5237,0737	1950	1034,5	392,6	199,1	146,9
5237,2261	1950	1034,5	392,6	199,1	146,9
5237,3784	1950	1034,5	392,6	199,1	146,9
5237,5308	1950	1034,5	392,6	199,1	146,9
5237,6831	1950	1034,5	392,6	199,1	146,9
5237,8354	1950	1034,5	392,6	199,1	146,9
5237,9878	1950	1034,5	392,6	199,1	146,9
5238,1406	1950	1034,5	392,6	199,1	146,9
5238,293	1950	1034,5	392,6	199,1	146,9
5238,4453	1950	1034,5	392,6	199,1	146,9
5238,5977	1950	1034,5	392,6	199,1	146,9
5238,75	1950	1034,5	392,6	199,1	146,9
5238,9023	1950	1034,5	392,6	199,1	146,9
5239,0547	1950	1034,5	392,6	199,1	146,9
5239,207	1950	1034,5	392,6	199,1	146,9
5239,3594	1950	1034,5	392,6	199,1	146,9
5239,5122	1950	1034,5	392,6	199,1	146,9
5239,6646	1950	1034,5	392,6	199,1	146,9
5239,8169	1950	1034,5	392,6	199,1	146,9
5239,9692	1950	1034,5	392,6	199,1	146,9
5240,1216	1950	1034,5	392,6	199,1	146,9
5240,2739	1950	1034,5	392,6	199,1	146,9
5240,4263	1950	1034,5	392,6	199,1	146,9
5240,5786	1950	1034,5	392,6	199,1	146,9
5240,731	1950	1034,5	392,6	199,1	146,9
5240,8838	1950	1034,5	392,6	199,1	146,9
5241,0361	1950	1034,5	392,6	199,1	146,9
5241,1885	1950	1034,5	392,6	199,1	146,9
5241,3408	1950	1034,5	392,6	199,1	146,9
5241,4932	1950	1034,5	392,6	199,1	146,9
5241,6455	1950	1034,5	392,6	199,1	146,9
5241,7979	1950	1034,5	392,6	199,1	146,9
5241,9502	1950	1034,5	392,6	199,1	146,9
5242,103	1950	1034,5	392,6	199,1	146,9
5242,2554	1950	1034,5	392,6	199,1	146,9
5242,4077	1950	1034,5	392,6	199,1	146,9
5242,5601	1950	1034,5	392,6	199,1	146,9
5242,7124	1950	1034,5	392,6	199,1	146,9
5242,8647	1950	1034,5	392,6	199,1	146,9
5243,0171	1950	1034,5	392,6	199,1	146,9
5243,1694	1950	1034,5	392,6	199,1	146,9
5243,3218	1950	1034,5	392,6	199,1	146,9
5243,4746	1950	1034,5	392,6	199,1	146,9
5243,627	1950	1034,5	392,6	199,1	146,9
5243,7793	1950	1034,5	392,6	199,1	146,9
5243,9316	1950	1034,5	392,6	199,1	146,9
5244,084	1950	1034,5	392,6	199,1	146,9
5244,2363	1950	1034,5	392,6	199,1	146,9
5244,3887	1950	1034,5	392,6	199,1	146,9
5244,541	1950	1034,5	392,6	199,1	146,9
5244,6934	1950	1034,5	392,6	199,1	146,9
5244,8462	1950	1034,5	392,6	199,1	146,9
5244,9985	1950	1034,5	392,6	199,1	146,9
5245,1509	1950	1034,5	392,6	199,1	146,9
5245,3032	1950	1034,5	392,6	199,1	146,9
5245,4556	1950	1034,5	392,6	199,1	146,9
5245,6079	1950	1034,5	392,6	199,1	146,9
5245,7603	1950	1034,5	392,6	199,1	146,9
5245,9126	1950	1034,5	392,6	199,1	146,9
5246,0654	1950	1034,5	392,6	199,1	146,9
5246,2178	1950	1034,5	392,6	199,1	146,9
5246,3701	1950	1034,5	392,6	199,1	146,9
5246,5225	1950	1034,5	392,6	199,1	146,9
5246,6748	1950	1034,5	392,6	199,1	146,8
5246,8271	1950	1034,5	392,6	199,1	146,8
5246,9795	1950	1034,5	392,6	199,1	146,8
5247,1318	1950	1034,5	392,6	199,1	146,8
5247,2842	1950	1034,5	392,6	199,1	146,8
5247,437	1950	1034,5	392,6	199,1	146,8
5247,5894	1950	1034,5	392,6	199,1	146,9
5247,7417	1950	1034,5	392,6	199,1	146,9
5247,894	1950	1034,5	392,6	199,1	147
5248,0464	1950	1034,4	392,6	199,1	147
5248,1987	1950	1034,4	392,7	199,1	147,1
5248,3511	1950	1034,4	392,7	199,1	147,1
5248,5034	1950	1034,4	392,7	199,1	147,1
5248,6558	1950	1034,3	392,6	199,1	147,1
5248,8086	1950	1034,3	392,6	199,1	147,1
5248,9609	1950	1034,2	392,5	199,1	147
5249,1133	1950	1034,1	392,3	199	146,9
5249,2656	1950	1034,1	392,2	199	146,7
5249,418	1950	1034	392,1	199	146,6
5249,5703	1950	1034,1	391,9	198,9	146,5
5249,7227	1950	1034,2	391,8	198,9	146,5
5249,875	1950	1034,8	391,8	199	146,5
5250,0278	1950	1034,9	391,9	199	146,6
5250,1802	1950	1034,8	392,2	199,1	146,7
5250,3325	1950	1034,2	392,4	199,1	147
5250,4849	1950	1034,7	392,8	199,2	147,2
5250,6372	1950	1036	393,4	199,2	147,4
5250,7896	1950	1037,2	393,8	199,2	147,5
5250,9419	1950	1038,7	394	199,2	147,4
5251,0942	1950	1038,8	393,8	199,2	147,3
5251,2466	1950	1038,5	393,2	199,2	147,1
5251,3994	1950	1037,8	392,6	199,2	146,9
5251,5518	1950	1037,1	391,8	199,2	146,8
5251,7041	1950	1038,3	391,9	199,4	146,7
5251,8564	1950	1039,7	392	199,5	146,8
5252,0088	1950	1039,4	392,3	199,5	146,9
5252,1611	1950	1039,7	392,5	199,4	146,9
5252,3135	1950	1039,5	392,7	199,3	147
5252,4658	1950	1039,7	393	199,2	147,1
5252,6182	1950	1039,3	393,3	199,2	147,1
5252,771	1950	1040,4	393,4	199,2	147
5252,9233	1950	1041,4	393,2	199,3	147
5253,0757	1950	1042,3	392,9	199,3	146,8
5253,228	1950	1043,4	392,8	199,3	146,7
5253,3804	1950	1044,4	392,6	199,1	146,7
5253,5327	1950	1045,1	392,4	199,1	146,6
5253,6851	1950	1045	392,3	199,1	146,5
5253,8374	1950	1044,5	392,4	199,1	146,5
5253,9902	1950	1043,9	392,3	199,1	146,5
5254,1426	1950	1043,1	392,2	199	146,5
5254,2949	1950	1042,6	392,3	199	146,6
5254,4473	1950	1042,4	392,3	199	146,6
5254,5996	1950	1042,5	392,3	199	146,7
5254,752	1950	1042,8	392,2	199	146,8
5254,9043	1950	1043,3	392,2	199	146,8
5255,0566	1950	1043,8	392,1	199	146,9
5255,209	1950	1044,2	392	199	146,9
5255,3618	1950	1044,5	391,8	198,9	146,9
5255,5142	1950	1044,8	391,7	198,9	146,8
5255,6665	1950	1045,3	391,5	198,9	146,7
5255,8188	1950	1045,5	391,3	198,8	146,6
5255,9712	1950	1045,5	390,9	198,8	146,4
5256,1235	1950	1045,8	390,5	198,8	146,2
5256,2759	1950	1046	390,3	198,8	146
5256,4282	1950	1046,7	389,9	198,8	145,8
5256,5806	1950	1047,6	389,4	198,8	145,7
5256,7334	1950	1048	389,2	198,7	145,7
